Country,Management,Location,Plot,Replication,BLK,Pedigree,Entry,YLD,AD,ASI,rEPP,nP,EA
Ethiopia,Optimal,Bako,62,3,13,ECAVL2/ECAVL18,10,6.868134603,76,3,1.294117647,17,3
Ethiopia,Optimal,Bako,63,3,13,ECAVL2/ECAVL16-STR,8,8.019321905,76,3,1.588235294,17,3
Ethiopia,Optimal,Bako,64,3,13,ECAVL1-#,22,4.813409524,81,-2,1.25,16,3.5
Ethiopia,Optimal,Bako,65,3,13,ECAVL18/NIP25,21,6.089935238,79,4,1.411764706,17,3
Ethiopia,Optimal,Bako,66,3,14,PHB3253,30,7.748998095,76,3,1.235294118,17,2.5
Ethiopia,Optimal,Bako,67,3,14,ECAVL16-#,24,5.890031746,76,3,1.588235294,17,2.5
Ethiopia,Optimal,Bako,68,3,14,ECAVL2/ECAVL16,7,7.670979048,79,2,1.470588235,17,2.5
Ethiopia,Optimal,Bako,69,3,14,ECAVL2/ECAVL17,9,7.493648254,79,2,1.625,16,3
Ethiopia,Optimal,Bako,70,3,14,ECAVL1/ECAVL16,2,6.408594286,74,2,1.235294118,17,2.5
Ethiopia,Optimal,Bako,71,3,15,ECAVL1/ECAVL16-STR,3,6.603093333,81,0,1.125,16,3
Ethiopia,Optimal,Bako,72,3,15,ECAVL16-STR/ECAVL17,16,6.236444444,79,0,1.058823529,17,3
Ethiopia,Optimal,Bako,73,3,15,ECAVL17/ECAVL18,19,6.493460317,76,3,1.176470588,17,2.5
Ethiopia,Optimal,Bako,74,3,15,ECAVL1/NIP25,6,10.63789714,74,2,1.882352941,17,2.5
Ethiopia,Optimal,Bako,75,3,15,ECAVL16-STR-#,25,5.791451429,81,0,1.411764706,17,3
Ethiopia,Optimal,Bako,76,3,16,ECAVL2/NIP25,11,8.559299048,79,0,1.75,16,2.5
Ethiopia,Optimal,Bako,77,3,16,CML202/CML395/CML312-RE,29,3.385823492,83,0,1.428571429,7,2.5
Ethiopia,Optimal,Bako,78,3,16,ECAVL1/ECAVL2,1,8.82791619,76,0,1.4375,16,2
Ethiopia,Optimal,Bako,79,3,16,ECAVL16/NIP25,15,5.971484444,79,0,1.294117647,17,2.5
Ethiopia,Optimal,Bako,80,3,16,ECAVL16-STR/ECAVL18,17,7.45216,81,0,1.529411765,17,3
Ethiopia,Optimal,Bako,81,3,17,ECAVL2-#,23,5.319111111,81,0,1.470588235,17,3
Ethiopia,Optimal,Bako,82,3,17,ECAVL16/ECAVL17,13,6.436571429,76,3,0.588235294,17,2.5
Ethiopia,Optimal,Bako,83,3,17,ECAVL1/ECAVL17,4,7.140246349,79,2,1.411764706,17,3
Ethiopia,Optimal,Bako,84,3,17,ECAVL18-#,27,4.599182222,79,2,1.333333333,15,3
Ethiopia,Optimal,Bako,85,3,17,ECAVL17/NIP25,20,6.842920635,79,2,1.176470588,17,3
Ethiopia,Optimal,Bako,86,3,18,ECAVL16-STR/NIP25,18,8.173714286,76,3,1.411764706,17,2.5
Ethiopia,Optimal,Bako,87,3,18,ECAVL16/ECAVL18,14,6.530011429,81,2,1.235294118,17,2.5
Ethiopia,Optimal,Bako,88,3,18,ECAVL1/ECAVL18,5,7.49543619,79,0,1.352941176,17,2.5
Ethiopia,Optimal,Bako,89,3,18,NIP25-#,28,4.630755556,81,2,1.25,16,3
Ethiopia,Optimal,Bako,90,3,18,ECAVL16/ECAVL16-STR,12,7.598730159,79,0,1.470588235,17,2.5
Kenya,Low Nitrogen,Kakamega Low N,1,1,1,ECAVL16/ECAVL17,13,3.370046694,76,5,1.2,30,3.5
Kenya,Low Nitrogen,Kakamega Low N,2,1,1,ECAVL17-#,26,3.383961252,77,8,1,34,3.5
Kenya,Low Nitrogen,Kakamega Low N,3,1,1,ECAVL18/NIP25,21,5.013504,76,5,1.058823529,34,2
Kenya,Low Nitrogen,Kakamega Low N,4,1,1,ECAVL1/ECAVL18,5,4.392500245,76,5,1,36,2.5
Kenya,Low Nitrogen,Kakamega Low N,5,1,1,CML202/CML395/CML312-RE,29,2.665279274,81,4,1.1,20,3.5
Kenya,Low Nitrogen,Kakamega Low N,6,1,2,ECAVL17/ECAVL18,19,3.999004444,76,5,0.777777778,45,2.5
Kenya,Low Nitrogen,Kakamega Low N,7,1,2,ECAVL16/ECAVL16-STR,12,3.531573986,76,9,1,37,3
Kenya,Low Nitrogen,Kakamega Low N,8,1,2,ECAVL2/ECAVL17,9,5.03539229,77,4,1.121212121,33,2
Kenya,Low Nitrogen,Kakamega Low N,9,1,2,ECAVL16/NIP25,15,3.941076463,75,3,1.088235294,34,2.5
Kenya,Low Nitrogen,Kakamega Low N,10,1,2,ECAVL16-STR/ECAVL17,16,4.187393741,75,6,0.972972973,37,2
Kenya,Low Nitrogen,Kakamega Low N,11,1,3,ECAVL16-STR-#,25,4.249861224,79,2,1.15625,32,3
Kenya,Low Nitrogen,Kakamega Low N,12,1,3,NIP25-#,28,4.107814313,76,2,1.058823529,34,3
Kenya,Low Nitrogen,Kakamega Low N,13,1,3,ECAVL16-#,24,2.630542222,83,0,0.882352941,34,3.5
Kenya,Low Nitrogen,Kakamega Low N,14,1,3,ECAVL17/NIP25,20,4.262236299,84,-1,1.096774194,31,2.5
Kenya,Low Nitrogen,Kakamega Low N,15,1,3,DH01,30,3.647390476,90,2,0.878787879,33,3.5
Kenya,Low Nitrogen,Kakamega Low N,16,1,4,ECAVL1-#,22,3.855141732,76,5,1.09375,32,2.5
Kenya,Low Nitrogen,Kakamega Low N,17,1,4,ECAVL2-#,23,6.4052361,79,2,1.028571429,35,2
Kenya,Low Nitrogen,Kakamega Low N,18,1,4,ECAVL2/ECAVL16,7,4.831923955,77,4,1.185185185,27,3.5
Kenya,Low Nitrogen,Kakamega Low N,19,1,4,ECAVL1/ECAVL16-STR,3,5.655211828,76,2,1.114285714,35,3
Kenya,Low Nitrogen,Kakamega Low N,20,1,4,ECAVL16-STR/NIP25,18,6.330196172,75,3,1.117647059,34,2.5
Kenya,Low Nitrogen,Kakamega Low N,21,1,5,ECAVL18-#,27,4.602146249,76,2,1.290322581,31,3
Kenya,Low Nitrogen,Kakamega Low N,22,1,5,ECAVL1/ECAVL17,4,5.247505415,79,2,1.058823529,34,2.5
Kenya,Low Nitrogen,Kakamega Low N,23,1,5,ECAVL2/ECAVL18,10,5.691290993,76,5,1.166666667,30,2
Kenya,Low Nitrogen,Kakamega Low N,24,1,5,ECAVL1/ECAVL16,2,4.602501515,75,6,1.03125,32,2.5
Kenya,Low Nitrogen,Kakamega Low N,25,1,5,ECAVL1/ECAVL2,1,5.499526676,79,2,1.25,28,2
Kenya,Low Nitrogen,Kakamega Low N,26,1,6,ECAVL16/ECAVL18,14,4.36719746,75,6,1.458333333,24,2.5
Kenya,Low Nitrogen,Kakamega Low N,27,1,6,ECAVL2/NIP25,11,6.202340136,76,5,1.147058824,34,2
Kenya,Low Nitrogen,Kakamega Low N,28,1,6,ECAVL1/NIP25,6,4.588843537,75,12,1.28,25,2
Kenya,Low Nitrogen,Kakamega Low N,29,1,6,ECAVL2/ECAVL16-STR,8,5.973134803,79,0,1.117647059,34,2.5
Kenya,Low Nitrogen,Kakamega Low N,30,1,6,ECAVL16-STR/ECAVL18,17,5.243005388,79,2,1.121212121,33,2.5
Kenya,Low Nitrogen,Kakamega Low N,31,2,7,ECAVL16-STR/ECAVL17,16,3.6992,79,6,0.885714286,35,3.5
Kenya,Low Nitrogen,Kakamega Low N,32,2,7,ECAVL1/ECAVL16-STR,3,4.733515465,76,5,0.945945946,37,2.5
Kenya,Low Nitrogen,Kakamega Low N,33,2,7,ECAVL16/ECAVL18,14,4.080320726,76,5,1.03125,32,3
Kenya,Low Nitrogen,Kakamega Low N,34,2,7,ECAVL1/ECAVL16,2,3.082459429,75,6,0.970588235,34,3
Kenya,Low Nitrogen,Kakamega Low N,35,2,7,CML202/CML395/CML312-RE,29,1.517693388,85,5,0.928571429,14,3.5
Kenya,Low Nitrogen,Kakamega Low N,36,2,8,ECAVL2/ECAVL16,7,4.679041451,77,4,1,33,2
Kenya,Low Nitrogen,Kakamega Low N,37,2,8,ECAVL16-STR/ECAVL18,17,3.983945143,79,2,0.939393939,33,3
Kenya,Low Nitrogen,Kakamega Low N,38,2,8,ECAVL16/ECAVL17,13,3.372888816,76,4,0.891891892,37,3
Kenya,Low Nitrogen,Kakamega Low N,39,2,8,DH01,30,5.79666663,90,2,0.891891892,37,3
Kenya,Low Nitrogen,Kakamega Low N,40,2,8,ECAVL1/ECAVL2,1,5.434374966,79,2,1.057142857,35,2.5
Kenya,Low Nitrogen,Kakamega Low N,41,2,9,ECAVL2/ECAVL17,9,6.570829206,79,6,1.028571429,35,2.5
Kenya,Low Nitrogen,Kakamega Low N,42,2,9,ECAVL2/ECAVL16-STR,8,5.937272744,79,2,1.028571429,35,2.5
Kenya,Low Nitrogen,Kakamega Low N,43,2,9,NIP25-#,28,2.995833905,75,6,1.066666667,30,3.5
Kenya,Low Nitrogen,Kakamega Low N,44,2,9,ECAVL1/ECAVL17,4,3.452586667,79,2,1,33,3.5
Kenya,Low Nitrogen,Kakamega Low N,45,2,9,ECAVL18/NIP25,21,5.703192381,75,6,1.125,32,2.5
