Country,Location,CrossName,Genotype,Rep,YLD,TGW,Heading,Height
ARGENTINA,Buenos Aires,UP2338*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/MILAN/KAUZ//CHIL/CHUM18/6/UP2338*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ,54,2,3.67,33.8,57,74.5
ARGENTINA,Buenos Aires,W15.92/4/PASTOR//HXL7573/2*BAU/3/WBLL1,55,1,1.25,37.4,54,70.3
ARGENTINA,Buenos Aires,W15.92/4/PASTOR//HXL7573/2*BAU/3/WBLL1,55,2,3.37,40.2,56,76.8
ARGENTINA,Buenos Aires,WBLL1*2/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX,56,1,1.35,37.2,56,63.8
ARGENTINA,Buenos Aires,WBLL1*2/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX,56,2,3.65,36.1,57,72
ARGENTINA,Buenos Aires,WBLL1*2/KURUKU*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,57,1,1.11,33.2,55,60.3
ARGENTINA,Buenos Aires,WBLL1*2/KURUKU*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,57,2,1.11,33.2,57,56.8
ARGENTINA,Buenos Aires,WBLL1*2/TUKURU*2/4/CROC_1/AE.SQUARROSA (205)//BORL95/3/2*MILAN,58,1,0.79,26.2,57,62.3
ARGENTINA,Buenos Aires,WBLL1*2/TUKURU*2/4/CROC_1/AE.SQUARROSA (205)//BORL95/3/2*MILAN,58,2,2.31,43.3,57,73.3
ARGENTINA,Buenos Aires,WHEAR/SOKOLL,59,1,1,25.9,55,65.8
ARGENTINA,Buenos Aires,WHEAR/SOKOLL,59,2,1.97,35,54,74
ARGENTINA,Buenos Aires,YAV_3/SCO//JO69/CRA/3/YAV79/4/AE.SQUARROSA (498)/5/LINE 1073/6/KAUZ*2/4/CAR//KAL/BB/3/NAC/5/KAUZ/7/KRONSTAD F2004/8/KAUZ/PASTOR//PBW343,60,1,0.66,21.2,55,57.5
ARGENTINA,Buenos Aires,YAV_3/SCO//JO69/CRA/3/YAV79/4/AE.SQUARROSA (498)/5/LINE 1073/6/KAUZ*2/4/CAR//KAL/BB/3/NAC/5/KAUZ/7/KRONSTAD F2004/8/KAUZ/PASTOR//PBW343,60,2,3.29,29.1,58,75
CHINA,Beijin,ARMENT//2*SOOTY_9/RASCON_37/4/CNDO/PRIMADUR//HAI-OU_17/3/SNITAN,1,1,5.55,31,55,73
CHINA,Beijin,ARMENT//2*SOOTY_9/RASCON_37/4/CNDO/PRIMADUR//HAI-OU_17/3/SNITAN,1,2,5.195833333,35,56,70
CHINA,Beijin,ATTILA,2,1,6.7375,33,57,68
CHINA,Beijin,ATTILA,2,2,5.183333333,34,57,68
CHINA,Beijin,ATTILA*2/PBW65,3,1,7.529166667,33,57,78
CHINA,Beijin,ATTILA*2/PBW65,3,2,5.120833333,30,57,76
CHINA,Beijin,ATTILA*2/PBW65*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,4,1,5.6625,34,57,71
CHINA,Beijin,ATTILA*2/PBW65*2/5/REH/HARE//2*BCN/3/CROC_1/AE.SQUARROSA (213)//PGO/4/HUITES,4,2,6.641666667,32,57,71
CHINA,Beijin,ATTILA//PGO/SERI/3/PASTOR,5,1,7.320833333,31,57,70
CHINA,Beijin,ATTILA//PGO/SERI/3/PASTOR,5,2,6.041666667,28,57,71
CHINA,Beijin,ATTILA/PASTOR,6,1,6.2125,34,57,74
CHINA,Beijin,ATTILA/PASTOR,6,2,5.8,33,56,70
CHINA,Beijin,BABAX/LR42//BABAX/3/ER2000,7,1,5.904166667,32,57,78
CHINA,Beijin,BABAX/LR42//BABAX/3/ER2000,7,2,6.254166667,32,57,79
CHINA,Beijin,BABAX/LR42//BABAX/3/VORB,8,1,6.116666667,36,58,76
CHINA,Beijin,BABAX/LR42//BABAX/3/VORB,8,2,7.454166667,39,61,80
